"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0649156","71","13","13","2","0","5,712","0","0","0","43","<Total>"
"0.0001985","8","2","2","0","0","0","0","0","0","4","C:\Windows\System32\imm32.dll"
"0.0000491","8","2","2","0","0","0","0","0","0","4","C:\Windows\System32\oleaut32.dll"
"0.0004441","8","2","2","0","0","0","0","0","0","4","C:\Windows\System32\shutdownext.dll"
"0.0003751","8","2","2","0","0","0","0","0","0","4","C:\Windows\System32\sspicli.dll"
"0.0635093","6","1","1","2","0","5,712","0","0","0","2","C:\Windows\Prefetch\SHUTDOWN.EXE-1692B741.pf"
"0.0001051","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32\en-US\shutdown.exe.mui"
"0.0000268","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32\en-US\shutdownext.dll.mui"
"0.0000296","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32\en-US\user32.dll.mui"
"0.0000136","4","0","0","0","0","0","0","0","0","4","C:\Windows\System32\combase.dll"
"0.0000542","2","1","1","0","0","0","0","0","0","0","C:\Users\user"
"0.0000243","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\KernelBase.dll"
"0.0000139","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\advapi32.dll"
"0.0000071","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\ole32.dll"
"0.0000300","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\sechost.dll"
"0.0000068","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\kernel32.dll"
"0.0000072","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\ntdll.dll"
"0.0000072","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\shutdown.exe"
"0.0000137","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\user32.dll"
